question,course,document
I was given a random name like Lucid Elbakyan; can I replace it with my real name and how?,data-engineering-zoomcamp,016d46a1
Should I install Python 3.9 for this course in 2024?,data-engineering-zoomcamp,47972cb1
Can I use Python 3.10 or 3.11 instead of 3.9?,data-engineering-zoomcamp,47972cb1
Why is Python 3.9 recommended rather than a newer release?,data-engineering-zoomcamp,47972cb1
Will using a newer Python version cause issues when following the recorded videos?,data-engineering-zoomcamp,47972cb1
Is there an official requirement that I must use Python 3.9 for assignments or grading?,data-engineering-zoomcamp,47972cb1
"Which environment should I pick for the course: local machine, GCP, or GitHub Codespaces?",data-engineering-zoomcamp,ddf6c1b3
What Windows-specific problems might I encounter if I work locally and how can I fix them?,data-engineering-zoomcamp,ddf6c1b3
"If I work locally, should I begin with Week 1's Introduction to Docker to set up my environment?",data-engineering-zoomcamp,ddf6c1b3
What are the first steps to set up a virtual machine or GitHub Codespaces for this boot camp?,data-engineering-zoomcamp,ddf6c1b3
Is using a virtual machine recommended if I use multiple laptops and want to work from anywhere?,data-engineering-zoomcamp,ddf6c1b3
Can I use GitHub Codespaces instead of a local CLI/Git Bash to ingest course data and create Docker containers?,data-engineering-zoomcamp,ac25d3af
Does Codespaces come with Docker and Docker Compose preinstalled so I don't have to install them locally?,data-engineering-zoomcamp,ac25d3af
Can I run Python scripts for assignments inside a Codespace?,data-engineering-zoomcamp,ac25d3af
Is it possible to open our course repository directly in a Codespace to work on files?,data-engineering-zoomcamp,ac25d3af
"Are there CPU, memory, or runtime limits in Codespaces that could affect building images or processing large datasets?",data-engineering-zoomcamp,ac25d3af
"Do I have to use GitHub Codespaces, or can I complete the course on my local machine?",data-engineering-zoomcamp,251218fc
Can I continue using my own PostgreSQL and Docker installations instead of the suggested cloud options?,data-engineering-zoomcamp,251218fc
Will assignments assume a specific environment that might not work if I use a different setup?,data-engineering-zoomcamp,251218fc
Are there benefits to the recommended cloud environments that I would lose by working on a laptop?,data-engineering-zoomcamp,251218fc
"If I encounter environment problems with my own setup, will instructors help debug non-standard configurations?",data-engineering-zoomcamp,251218fc
"Do I need both GitHub Codespaces and GCP to complete the course, or is a single environment sufficient?",data-engineering-zoomcamp,3c0114ce
"How should I decide whether to use Codespaces, a cloud provider, or a local setup for my final project?",data-engineering-zoomcamp,3c0114ce
"Are there specific assignments that require BigQuery or cloud access, or can those be completed locally?",data-engineering-zoomcamp,3c0114ce
"If I set up a local development environment, will I miss essential course components that depend on cloud services?",data-engineering-zoomcamp,3c0114ce
Would you recommend learning the platform that includes BigQuery to avoid issues later in the course?,data-engineering-zoomcamp,3c0114ce
How do I open the Run dialog in Windows so I can edit the registry?,data-engineering-zoomcamp,f43f5fe7
What do I type in the Run box to launch the Registry Editor?,data-engineering-zoomcamp,f43f5fe7
"Which registry key contains the Autorun entry I should clear to fix the VSCode-to-GCP VM SSH problem, and what should I set it to?",data-engineering-zoomcamp,f43f5fe7
"Instead of changing the registry, can I remove the saved SSH host fingerprint — where is that file on Windows?",data-engineering-zoomcamp,f43f5fe7
What is the full path to my Windows known_hosts file so I can delete a fingerprint?,data-engineering-zoomcamp,f43f5fe7
Why did the course choose GCP instead of other cloud providers?,data-engineering-zoomcamp,d061525d
Am I allowed to complete assignments on AWS or Azure rather than GCP?,data-engineering-zoomcamp,d061525d
Do I need a valid credit card to sign up for the GCP free trial?,data-engineering-zoomcamp,d061525d
"Since the course uses BigQuery, will using another cloud provider cause problems for assignments?",data-engineering-zoomcamp,d061525d
How much free credit does GCP provide for new users and will it cover our coursework?,data-engineering-zoomcamp,d061525d
Will I have to pay for cloud services for this course if I sign up for GCP's free trial?,data-engineering-zoomcamp,1cd01b2c
"Do I need to purchase cloud access, or can I use Google Cloud Platform's trial instead?",data-engineering-zoomcamp,1cd01b2c
Can I avoid charges for course labs by using the GCP free trial?,data-engineering-zoomcamp,1cd01b2c
"If I use the GCP free trial, will the course require any paid cloud services?",data-engineering-zoomcamp,1cd01b2c
Is paying for cloud services necessary when following the course on GCP's trial?,data-engineering-zoomcamp,1cd01b2c
Can I complete the entire course without access to cloud providers like Google Cloud?,data-engineering-zoomcamp,e4a7c3b0
"Which course components absolutely require cloud services (for example, is BigQuery necessary)?",data-engineering-zoomcamp,e4a7c3b0
Do you offer instructions for setting up a home lab or local environment to replace cloud resources?,data-engineering-zoomcamp,e4a7c3b0
"If some items lack official guidelines, what is the recommended way to run those parts locally?",data-engineering-zoomcamp,e4a7c3b0
Will I miss any major functionality or exercises if I run the whole course on a local setup?,data-engineering-zoomcamp,e4a7c3b0
Can I complete labs and projects using AWS instead of the cloud platform shown in the videos?,data-engineering-zoomcamp,7cd1912e
What modifications will I need to make to follow the video walkthroughs on AWS?,data-engineering-zoomcamp,7cd1912e
Will my capstone be evaluated differently if I implement the required data pipeline and visualization on AWS?,data-engineering-zoomcamp,7cd1912e
"If I run into AWS-specific problems, what support options are available given fewer classmates may use AWS?",data-engineering-zoomcamp,7cd1912e
Are substitutions of different tools or services (for example AWS equivalents) allowed in place of the tools demonstrated in the course?,data-engineering-zoomcamp,7cd1912e
Will there be any live Zoom sessions in addition to regular office hours?,data-engineering-zoomcamp,52393fb3
Are extra live calls only scheduled during the capstone/final project period?,data-engineering-zoomcamp,52393fb3
How and when will we be notified if additional live sessions are planned?,data-engineering-zoomcamp,52393fb3
Will attending those extra live calls be mandatory or optional?,data-engineering-zoomcamp,52393fb3
"If I can't join a live session, will a recording or summary be provided afterward?",data-engineering-zoomcamp,52393fb3
Should I use the same NYC trips dataset from January 2021 or a 2022 version for the project?,data-engineering-zoomcamp,10515af5
"Is this year’s project effectively the same as last year’s, or will there be notable differences?",data-engineering-zoomcamp,10515af5
Which exact dataset file or version should we download for the assignment?,data-engineering-zoomcamp,10515af5
Can you confirm that the January 2021 dataset is the correct one to work with?,data-engineering-zoomcamp,10515af5
Where can I find the dataset link or location to download it?,data-engineering-zoomcamp,10515af5
Was the 2022 repository removed entirely?,data-engineering-zoomcamp,cdb86a97
Where were the 2022 course materials moved to?,data-engineering-zoomcamp,cdb86a97
Are the 2022 files still accessible and where can I find them?,data-engineering-zoomcamp,cdb86a97
Was the 2022 repo archived or just relocated within the project?,data-engineering-zoomcamp,cdb86a97
How do I access the relocated 2022 content?,data-engineering-zoomcamp,cdb86a97
Can I choose a different workflow or pipeline tool for the final project?,data-engineering-zoomcamp,3e0114ad
Am I allowed to use third-party cloud services or proprietary platforms in my project?,data-engineering-zoomcamp,3e0114ad
Can I implement the project with a different programming language or framework than used in class?,data-engineering-zoomcamp,3e0114ad
"Is it acceptable to include external libraries, tools, or orchestrators in the course project?",data-engineering-zoomcamp,3e0114ad
May I select any technology stack I prefer to complete the final project?,data-engineering-zoomcamp,3e0114ad
Can I use Airflow or Prefect instead of Mage in this course?,data-engineering-zoomcamp,b2799574
May I use AWS or Snowflake instead of the GCP tools demonstrated?,data-engineering-zoomcamp,b2799574
Is it acceptable to use Tableau instead of Metabase or Google Data Studio for assignments?,data-engineering-zoomcamp,b2799574
The course provides two stacks (GCP and local)—am I required to use one of these or may I use any stack I prefer?,data-engineering-zoomcamp,b2799574
"If I choose a different tool stack, will I get instructor support and do I need to explain my tool choices in the capstone peer review?",data-engineering-zoomcamp,b2799574
How can I help improve the course materials?,data-engineering-zoomcamp,2f19301f
"Does marking the repository as a favorite help the project, and should I do it?",data-engineering-zoomcamp,2f19301f
Is it okay to share this course with friends and others?,data-engineering-zoomcamp,2f19301f
What steps should I follow to submit a pull request to change the text or structure?,data-engineering-zoomcamp,2f19301f
What kinds of edits or improvements are appropriate to propose via a pull request?,data-engineering-zoomcamp,2f19301f
"Do I need to use Linux for this course, or will any OS work?",data-engineering-zoomcamp,7c700adb
Is there a recommended operating system for the coursework and labs?,data-engineering-zoomcamp,7c700adb
Can I complete assignments and use required tools on Windows or macOS without issues?,data-engineering-zoomcamp,7c700adb
Will using a non-Linux system cause technical problems in the class?,data-engineering-zoomcamp,7c700adb
Have previous students successfully used different operating systems for this course?,data-engineering-zoomcamp,7c700adb
Why do later modules use .sh scripts and will Windows users be blocked without WSL?,data-engineering-zoomcamp,44b14808
"Is WSL required to complete module-05 and the RisingWave workshop, or are there supported Windows alternatives?",data-engineering-zoomcamp,44b14808
"Can Git Bash or MINGW64 reliably run the course shell scripts, or will they fail?",data-engineering-zoomcamp,44b14808
Where can I find step-by-step instructions to set up WSL for this course?,data-engineering-zoomcamp,44b14808
"If I cannot install WSL due to administrative restrictions, what workarounds or assistance are available to continue the course?",data-engineering-zoomcamp,44b14808
What books or supplementary materials would you recommend for this course?,data-engineering-zoomcamp,76e4baf6
Are there curated online resources I can use to learn more about data engineering?,data-engineering-zoomcamp,76e4baf6
Could you share a compiled list of recommended readings and tools for the course topics?,data-engineering-zoomcamp,76e4baf6
Where can I find a single document or repository that collects extra materials and tutorials for data engineering?,data-engineering-zoomcamp,76e4baf6
"Do you have suggestions for further study resources—books, guides, or links—to deepen my understanding of the course content?",data-engineering-zoomcamp,76e4baf6
"If I miss the first project deadline, can I still submit it using the second attempt?",data-engineering-zoomcamp,48b533a8
"If my first submission fails, am I allowed to resubmit with the second attempt?",data-engineering-zoomcamp,48b533a8
Does the second attempt only open after the first deadline passes or after grading?,data-engineering-zoomcamp,48b533a8
Can I deliberately skip the first attempt and use only the second one?,data-engineering-zoomcamp,48b533a8
Exactly how many submission attempts will I have for the project?,data-engineering-zoomcamp,48b533a8
What details should I include when posting a troubleshooting question so helpers can diagnose it without asking for more info?,data-engineering-zoomcamp,954044d1
"Before asking in Slack, what searches and resources should I check (pins, repo, FAQ, Slack search or bot) to avoid duplicate posts?",data-engineering-zoomcamp,954044d1
"If reinstalling an application doesn't fix an issue, is it better to uninstall first and should I restart the server or PC afterwards?",data-engineering-zoomcamp,954044d1
How should I search the web to find existing solutions for a specific error message or problem?,data-engineering-zoomcamp,954044d1
"Are screenshots acceptable when asking for help, or what is the preferred way to share long error logs and code snippets?",data-engineering-zoomcamp,954044d1
When should I ask for help instead of continuing with the troubleshooting guide?,data-engineering-zoomcamp,a820b9b3
"Which environment and context details should I include when reporting a problem (OS, project, video followed, command I ran)?",data-engineering-zoomcamp,a820b9b3
"If an error cites a specific line number, what should I inspect in my code before posting the issue?",data-engineering-zoomcamp,a820b9b3
How much of the error output and which commands should I paste into my help request to make it useful?,data-engineering-zoomcamp,a820b9b3
What failed attempts should I list so helpers do not repeat basic troubleshooting steps?,data-engineering-zoomcamp,a820b9b3
What's the easiest way to copy the course repository to my computer so I can work locally?,data-engineering-zoomcamp,f2945cd2
How do I contribute changes or notes back to the instructors' repository—what's the workflow for making a pull request?,data-engineering-zoomcamp,f2945cd2
How should I set up my own Git repository to store my course notes and versions of my files?,data-engineering-zoomcamp,f2945cd2
"Which file types or large files should I exclude from version control, and how do I configure .gitignore to skip them?",data-engineering-zoomcamp,f2945cd2
"What precautions should I take to ensure passwords, API keys, or other secrets are not stored in my Git repositories?",data-engineering-zoomcamp,f2945cd2
Why does make report '*** missing separator' for my Makefile on line 2?,data-engineering-zoomcamp,eb9d376f
How can I configure VS Code to insert actual tab characters instead of spaces when editing a Makefile?,data-engineering-zoomcamp,eb9d376f
What is the fastest way to convert space indentation to tabs in an existing Makefile so make will run?,data-engineering-zoomcamp,eb9d376f
Which VS Code setting controls whether the editor uses tabs or spaces for indentation?,data-engineering-zoomcamp,eb9d376f
Are there extensions or shortcuts in VS Code to automatically fix Makefile indentation across multiple files?,data-engineering-zoomcamp,eb9d376f
How can I open an HTML file in my Windows browser when I'm running Linux under WSL2?,data-engineering-zoomcamp,72f25f6d
What package do I need to install on the Linux side to launch a Windows browser from WSL?,data-engineering-zoomcamp,72f25f6d
Which command should I run from the Linux guest to open a specific HTML file in the host browser?,data-engineering-zoomcamp,72f25f6d
How do I specify which Windows browser the launcher should use instead of the default?,data-engineering-zoomcamp,72f25f6d
How can I set the BROWSER environment variable to point to a Windows browser executable whose path contains spaces?,data-engineering-zoomcamp,72f25f6d
How can I set up Chrome Remote Desktop on a Debian VM in Google Compute Engine to access graphical applications remotely?,data-engineering-zoomcamp,a1e59afc
I get ERROR 403: Forbidden when trying to download the 2021 TLC yellow taxi data — where can I obtain the files instead?,data-engineering-zoomcamp,a1e59afc
What is the direct download link for the January 2021 yellow taxi CSV from the DataTalksClub backup?,data-engineering-zoomcamp,a1e59afc
Which command should I use on Linux to decompress a .gz taxi data file?,data-engineering-zoomcamp,a1e59afc
Why does the unzip command fail on .gz files and what tool should I use to extract them?,data-engineering-zoomcamp,a1e59afc
Why does saving the file as 'output.csv' fail when the download is .csv.gz?,data-engineering-zoomcamp,71c10610
How should I change csv_name so it matches the filename in the download URL?,data-engineering-zoomcamp,71c10610
Will pandas.read_csv read a .csv.gz file directly or do I need to decompress it first?,data-engineering-zoomcamp,71c10610
Is using csv_name = url.split('/')[-1] the correct one-liner to get the filename from the URL?,data-engineering-zoomcamp,71c10610
"If I set csv_name to the URL filename, will using pd.read_csv(csv_name) work without errors?",data-engineering-zoomcamp,71c10610
Where can I find the official data dictionary for NYC yellow taxi trip records?,data-engineering-zoomcamp,17a5aea1
Where is the data dictionary for NYC green taxi trip records?,data-engineering-zoomcamp,17a5aea1
Are there separate data dictionaries for yellow and green taxi trips or a single combined file?,data-engineering-zoomcamp,17a5aea1
Do the TLC data dictionary PDFs include definitions for fields such as pickup/dropoff times and fare components?,data-engineering-zoomcamp,17a5aea1
Can you share the official NYC TLC URLs for the taxi trip data dictionaries?,data-engineering-zoomcamp,17a5aea1
How can I decompress a downloaded .csv.gz file on the command line so pandas can import it?,data-engineering-zoomcamp,5a275db7
How do I modify ingest_data.py to download a parquet file and then convert it to CSV within the script?,data-engineering-zoomcamp,5a275db7
Which pandas functions should I use to read a parquet file and save it as a CSV file?,data-engineering-zoomcamp,5a275db7
Where should I declare the parquet filename variable inside the main(params) function and what should it be named?,data-engineering-zoomcamp,5a275db7
How can I ensure the converted CSV is saved with the expected name so the rest of the code continues to work?,data-engineering-zoomcamp,5a275db7
Why is wget missing on my Ubuntu system and what command will install it?,data-engineering-zoomcamp,7ec0f9b0
How can I install wget on macOS?,data-engineering-zoomcamp,7ec0f9b0
What’s the easiest way to get wget on Windows and how do I place the exe so it’s available in PATH?,data-engineering-zoomcamp,7ec0f9b0
"If I download the Windows zip, must I rename wget64.exe to wget.exe and where should I move it?",data-engineering-zoomcamp,7ec0f9b0
"Can I avoid installing wget by using Python to download files, and which pip module/command should I use (or is requests better for .gz files)?",data-engineering-zoomcamp,7ec0f9b0
I'm on macOS and get 'cannot verify <website> certificate' with wget in a Jupyter Notebook — do I need to prefix the command with '!'?,data-engineering-zoomcamp,bb1ba786
How can I use the pip-installed Python wget module from the command line to download a URL?,data-engineering-zoomcamp,bb1ba786
"If wget fails to verify a site's certificate, how can I bypass the check and still download the file?",data-engineering-zoomcamp,bb1ba786
What exact command should I run in a notebook to download a site when certificate verification fails?,data-engineering-zoomcamp,bb1ba786
What CLI troubleshooting steps should I try when wget shows a certificate verification error on macOS?,data-engineering-zoomcamp,bb1ba786
How can I configure Git Bash on Windows so the backslash acts as an escape character?,data-engineering-zoomcamp,2f83dbe7
What exact command should I run in the terminal to set the escape character to backslash?,data-engineering-zoomcamp,2f83dbe7
Do I need to add that setting to my .bashrc for it to persist between sessions?,data-engineering-zoomcamp,2f83dbe7
Will changing the escape character affect other terminals or only this Git Bash instance?,data-engineering-zoomcamp,2f83dbe7
Is using backslash as the escape character the same convention our instructor follows?,data-engineering-zoomcamp,2f83dbe7
How do I securely store secrets for use inside Codespaces?,data-engineering-zoomcamp,543ff080
Where in my GitHub account can I manage personal secrets for Codespaces?,data-engineering-zoomcamp,543ff080
Can I make secrets available to all my Codespaces or only to specific repositories?,data-engineering-zoomcamp,543ff080
What steps are required to add tokens or environment variables to a Codespace?,data-engineering-zoomcamp,543ff080
Is there an official GitHub Docs guide that explains how to configure secrets for Codespaces?,data-engineering-zoomcamp,543ff080
"How do I start the Docker daemon when I see ""Cannot connect to Docker daemon at unix:///var/run/docker.sock""?",data-engineering-zoomcamp,d407d65b
How can I verify whether the Docker daemon is running on my machine?,data-engineering-zoomcamp,d407d65b
Which PowerShell command should I run to update WSL so Docker can connect to the daemon?,data-engineering-zoomcamp,d407d65b
What immediate checks should I perform after encountering the docker.sock connection error?,data-engineering-zoomcamp,d407d65b
"If starting the daemon doesn't resolve the error, what additional troubleshooting steps should I try?",data-engineering-zoomcamp,d407d65b
Why does Docker on Windows say it cannot find the docker_engine pipe when creating containers?,data-engineering-zoomcamp,c9375c56
How do I enable Hyper-V so Docker can use it on Windows 10/11 Pro?,data-engineering-zoomcamp,c9375c56
"If I run Windows Home, how can I run Docker without Hyper-V?",data-engineering-zoomcamp,c9375c56
What steps fix WSL2 installation failing with WslRegisterDistribution error 0x800701bc?,data-engineering-zoomcamp,c9375c56
Where can I find the official WSL2 installation and kernel update instructions for Windows 11?,data-engineering-zoomcamp,c9375c56
"Why does docker pull fail with 'pull access denied' when I try to fetch pgAdmin, and how can I fix it?",data-engineering-zoomcamp,e866156b
Do I need to run docker login to pull the Docker images used in the course?,data-engineering-zoomcamp,e866156b
I typed dbpage/pgadmin4 and got 'repository does not exist' — how do I find and use the correct image name?,data-engineering-zoomcamp,e866156b
On macOS M1 I see 'chown ... permission denied' when creating a Postgres container with a mounted host volume; what causes this and how can I resolve it?,data-engineering-zoomcamp,e866156b
"Should I switch from Rancher Desktop to Docker Desktop to fix volume permission errors for PostgreSQL on macOS M1, and what steps should I take?",data-engineering-zoomcamp,e866156b
"Why was the host directory created by my Postgres container owned by UID 999, and which user does that correspond to?",data-engineering-zoomcamp,16370470
"What is a safe way to remove a host folder created by a container when my regular user lacks permission, besides using sudo rm -r -f?",data-engineering-zoomcamp,16370470
How can I change ownership or permissions on a container-created host directory so I can delete it later?,data-engineering-zoomcamp,16370470
How do I prevent Docker from creating inaccessible host folders in the future—should I use named volumes or configure bind mounts differently?,data-engineering-zoomcamp,16370470
My app (Obsidian) failed to start due to access errors from that folder—how can I restore access without moving the folder first?,data-engineering-zoomcamp,16370470
How do I force-update or reinstall Docker for Windows if the in-app Upgrade option fails?,data-engineering-zoomcamp,316df755
"Docker is stuck on ""starting"" — how can I switch the container backend between Windows and Linux from the system tray?",data-engineering-zoomcamp,316df755
"On Windows 10/11 Pro, what are the differences between using Hyper-V vs WSL2 as Docker's backend and which is recommended?",data-engineering-zoomcamp,316df755
What steps do I need to enable Hyper-V on Windows 10/11 so Docker can use it as its backend?,data-engineering-zoomcamp,316df755
"If I choose WSL2 as Docker's backend, where can I find the setup instructions and what are the basic steps?",data-engineering-zoomcamp,316df755
Should I run Docker commands from the Windows filesystem or from the WSL Linux filesystem?,data-engineering-zoomcamp,f3aa9252
How do I set up Docker on Windows 10/11 Home with WSL2 — where can I find the recommended tutorial?,data-engineering-zoomcamp,f3aa9252
"If Docker remains stuck after configuring WSL2 or Hyper-V, what troubleshooting steps should I try next?",data-engineering-zoomcamp,f3aa9252
"Is Hyper-V alone sufficient for Docker on Windows, or is WSL2 the preferred option?",data-engineering-zoomcamp,f3aa9252
"When using Docker with WSL2, should my project files reside on the Linux filesystem or on Windows to avoid issues?",data-engineering-zoomcamp,f3aa9252
Why should I keep my project files inside my default Linux distro when using Docker on Windows?,data-engineering-zoomcamp,a4abe7a5
Does Docker use WSL2 as its backend on Windows 10 Home and Windows 11 Home?,data-engineering-zoomcamp,a4abe7a5
How does storing code in the Linux distro improve file system performance with Docker on Windows?,data-engineering-zoomcamp,a4abe7a5
Where can I find official best-practice guidance for using Docker with WSL2?,data-engineering-zoomcamp,a4abe7a5
Is it recommended to avoid storing code on the Windows host filesystem when running Docker under WSL2?,data-engineering-zoomcamp,a4abe7a5
"Why does running an interactive Docker container in mintty on Windows report a ""not a TTY"" error?",data-engineering-zoomcamp,fb930700
